state,x,y
Acre, -306.0, 110.0
Alagoas, 363.0, 60.0
Amapa, 68.0, 312.0
Amazonas, -202.0, 214.0
Bahia, 245.0, 19.0
Ceara, 302.0, 152.0
Distrito Federal, 112.0, -37.0
Espirito Santo, 248.0, -138.0
Goias, 58.0, -66.0
Maranhao, 189.0, 172.0
Mato Grosso, -32.0, 24.0
Mato Grosso Do Sul, -43.0, -128.0
Minas Gerais, 169.0, -96.0
Para, 18.0, 179.0
Paraiba, 380.0, 108.0
Parana, 15.0, -208.0
Pernambuco, 363.0, 83.0
Piaui, 229.0, 111.0
Rio De Janeiro, 202.0, -186.0
Rio Grande Do Norte, 367.0, 136.0
Rio Grande Do Sul, -35.0, -299.0
Rondonia, -170.0, 76.0
Roraima, -115.0, 334.0
Santa Catarina, 42.0, -269.0
Sao Paulo, 85.0, -170.0
Sergipe, 341.0, 37.0
Tocantins, 120.0, 71.0
